"Formula","Time (ns)","RAM usage (bytes)","Tautology"
"¬(B₃(p ⇿ p) ⇿ ¬¬q)","10021185101","3520680","false"
"¬(M₁((p ∧ p) → M₃p) ∨ p)","7312148","3522232","false"
"¬(r → B₂B₃M₂M₃q)","7296019","3535056","false"
"¬(¬(r ∨ r) ∧ M₃(q → r))","7584976","3520808","false"
"¬B₂(M₂r → M₃¬p)","75136562545","10448376","false"
"¬(¬M₂(q ∧ q) ∧ (r ∨ r))","10010363396","3520696","false"
"¬¬M₂((p ∨ q) ∨ M₂r)","10035335409","3694168","false"
"¬M₂B₂M₂M₂(r ⇿ r)","12636444748","6701304","false"
"¬B₁M₃B₂M₂¬p","10789275408","6591720","false"
"¬B₂B₁(B₂M₃r ⇿ p)","11282668196","6575992","false"
"¬B₃M₂M₂((p ∧ r) ∧ p)","71917001090","10772456","false"
"¬(¬B₁B₃r → (r ∧ r))","10031311516","3694168","false"
"¬M₁((p ⇿ q) ⇿ (r ⇿ M₁p))","8276086","3522920","false"
"¬((M₁p ∨ p) ⇿ B₃(r ⇿ r))","10035714973","3693736","false"
"¬((B₂M₃r ⇿ p) ∨ (q ⇿ r))","11175870043","3874320","false"
"¬M₃B₁¬¬(p → p)","10102306486","3724984","false"
"¬B₂B₂M₁M₁(p ∧ r)","11651541378","6575992","false"
"¬¬(B₂((p → r) → q) ⇿ p)","10985096448","3409280","false"
"¬(M₂((r ⇿ r) ⇿ r) ⇿ (p ∧ q))","9878031","3517688","false"
"¬(¬M₁M₁p → M₂q)","220753937","3898376","false"
"¬M₁M₃M₂M₂M₃q","11002975142647","81270976","false"
"¬M₃(((r ∧ r) ⇿ B₂p) → p)","5731297","3520632","false"
"¬((r ∨ r) ⇿ (r ∨ ¬M₂r))","5118672","3517560","false"
"¬M₂M₂((p ∨ q) ∨ M₂r)","266003158","3958336","false"
"¬(¬M₁M₃(p ∧ r) ∧ r)","10021948435","3690584","false"
"¬((p → p) ∨ B₃M₂(q ⇿ r))","9308741","3518264","false"
"r ∧ M₃M₃(p ⇿ B₂B₃q)","7169516","3518720","false"
"(p ∨ q) ∧ ¬(¬p → B₃q)","7061639","3517560","false"
"B₃q ∧ B₁(B₂M₃r ⇿ p)","10702349078","6583688","false"
"(r → r) ∧ M₁((p → q) ∧ (p ∨ p))","10878546080","3409312","false"
"B₁p ∧ M₂((M₃r → q) → q)","18213791","3602304","false"
"M₃p ∧ (M₂(p ∨ q) ∨ (q ∧ r))","6441683","3518280","false"
"(q ⇿ r) ∧ M₁((q ∧ r) ∧ (q → r))","6748274","3517592","false"
"M₁(r → p) ∧ M₁(B₁p ⇿ r)","76793427461","10445272","false"
"M₂B₂q ∧ B₁M₃B₂q","10743104671266","79873632","false"
"¬M₂r ∧ ¬B₂M₃p","6586018","3530648","false"
"((q → r) ⇿ r) ∧ ¬¬(p ⇿ r)","5328319","3517376","false"
"((q → r) ∧ p) ∧ B₃¬(p → p)","7791259","3517576","false"
"B₃B₂r ∧ (B₁B₁r → p)","11538856159","6583688","false"
"(B₃q ∧ ¬q) ∧ B₁(p ⇿ q)","8393630","3519000","false"
"(B₂B₃q ∨ q) ∧ ¬(r → r)","7037920","3520064","false"
"B₂(B₃q ∧ p) ∧ M₁(r ⇿ r)","92566108868","10627256","false"
"(B₁M₂q ∨ q) ∧ B₃M₂r","12094395562","6573832","false"
"((q → q) ∨ B₂q) ∧ (¬r → q)","8354795","3517576","false"
"(M₂p ⇿ (r ∨ r)) ∧ M₁M₃r","19412169","3599592","false"
"M₂B₃(M₂q ∧ p) ∧ (p ⇿ r)","90364640383","10445272","false"
"(((p ∨ p) → M₂q) ∧ q) ∧ (q ⇿ q)","5913428","3517592","false"
"(M₂M₃q ∨ (p → p)) ∧ (q ∨ r)","7493036","3518040","false"
"((p ∧ p) ⇿ ((p ∨ p) ∨ r)) ∧ (p → p)","7575460","3517408","false"
"(¬p ∧ (¬q ∧ p)) ∧ (q ⇿ r)","9992532","3517376","false"
"(p ⇿ ¬(B₁q → q)) ∧ M₁q","9295268","3519496","false"
"M₁B₃M₃B₁(q ⇿ q) ∧ r","11163753053","6572872","false"
"r ∨ (B₂¬¬(p → p) ⇿ r)","11155000731","3409280","false"
"(q → r) ∨ M₂(M₃(p ⇿ r) ⇿ q)","10019598350","3687480","false"
"¬p ∨ (¬r ⇿ M₃M₁p)","10031669083","3688792","false"
"B₂r ∨ B₃(¬p → M₁p)","78645338088","10490632","false"
"(q ∨ r) ∨ (M₁r ⇿ M₂(q ∨ r))","10021901881","3686584","false"
"(q ⇿ q) ∨ B₂¬B₁(p → q)","7357046","3517792","true"
"(p ∨ q) ∨ B₃(M₁¬q → p)","7948929","3520064","false"
"((r ∨ r) ∧ p) ∨ ((p → p) → M₃q)","7615759","3517592","false"
"((p → q) ∨ p) ∨ B₂M₁B₁q","7506052","3519984","true"
"M₂(q → r) ∨ ((p ∨ r) ∧ M₃p)","10015410185","3686584","false"
"B₁(q → p) ∨ B₁B₁B₁r","11006386407","6573832","false"
"B₃(q ∨ q) ∨ B₁B₂(q ⇿ q)","70677522041","10570536","false"
"(M₂r ∨ r) ∨ M₃(M₁q ∨ p)","88572329263","10445272","false"
"((p ∨ p) → M₂q) ∨ (B₃q ∧ p)","6065786","3520032","false"
"(B₁M₂q ∨ q) ∨ ¬(p ⇿ r)","7047894","3519784","false"
"(p ∧ M₃(r ⇿ r)) ∨ ¬B₁r","8431359","3518504","false"
"B₁((p ∧ p) ∧ p) ∨ M₂¬r","10058385312","3689704","false"
"((q ∧ r) ⇿ (r → q)) ∨ B₃(p ⇿ r)","8130947","3517704","false"
"M₂((p ⇿ q) ∨ q) ∨ B₁(p ∨ q)","10010725573","3689272","false"
"¬¬¬(p ⇿ p) ∨ (r ∧ r)","7587004","3517360","false"
"M₁M₁(B₂q ⇿ p) ∨ B₃q","10811289823","6572872","false"
"M₂B₂M₁M₁r ∨ M₃q","11885576928074","79954832","false"
"(B₂M₃p ⇿ B₁r) ∨ M₂q","12503963727","6572872","false"
"B₂(B₃M₃r ∨ q) ∨ (p ∨ p)","69664733411","10507656","false"
"(M₂M₃q ∨ (p → p)) ∨ B₃q","5230598","3519984","true"
"(M₃B₁B₂q ∧ (r ∨ r)) ∨ r","89709817577","10445272","false"
"p → M₂B₃B₁B₂(r ∨ r)","27842515589","6572872","false"
"B₂q → M₃B₂M₂¬p","15341768127","6572856","false"
"¬p → M₃M₂((p ∧ r) ∧ p)","10024192076","3684328","false"
"(q ∧ r) → (B₂p ∨ M₁M₁p)","81312476721","10511888","false"
"M₁q → (B₁M₂q ⇿ (q → p))","108872208980","11330480","false"
"(p → q) → ¬((p ∨ r) ⇿ (r ⇿ r))","7395326","3517392","false"
"(r → r) → B₁(B₂M₂r ∨ q)","83026518666","10488232","false"
"M₃(r → r) → B₁¬(r → r)","5737370","3520440","false"
"B₃(p ⇿ q) → M₁B₂(p ∧ p)","81747389235","10445272","false"
"(M₁p ∨ p) → B₁¬(r ∨ r)","5888373","3520160","false"
"B₂(r ⇿ r) → (B₂(p → r) ∨ q)","10016967292","3687480","false"
"(B₁r ∨ q) → (B₃¬q ⇿ p)","7865958","3518728","false"
"¬(r ∨ r) → M₃((p ∧ q) → r)","10005163103","3517576","false"
"M₂((p ∧ r) ∧ p) → ((p ∧ p) ∧ p)","8768635","3517704","false"
"(M₃(p ⇿ r) ⇿ q) → B₂(p ∨ q)","7894257","3520080","false"
"M₂B₂(q ∧ q) → M₃M₁q","11575798136","6572872","false"
"((M₃r → q) → q) → B₂(p ∧ p)","8966708","3519896","false"
"M₂(M₂r ⇿ r) → (M₃p ⇿ p)","4113624246","5224496","false"
"M₁((r ∨ r) → p) → M₂B₁r","97906827271","10487512","false"
"¬¬B₂M₃p → (p ∨ p)","10792421236","3856528","false"
"B₁M₂((p ∧ r) ∧ p) → (q ⇿ q)","7926018","3517872","true"
"¬(B₁M₃q ⇿ q) → B₃q","87876605924","10463320","false"
"¬B₂M₂B₁q → (q ⇿ r)","90334727930","10487496","false"
"(((r ∧ r) ⇿ B₂p) → p) → B₂r","5934655","3520808","false"
"¬¬¬(p ⇿ p) → B₂q","8065618","3517608","true"
"B₂M₃(B₂r ⇿ (p ∧ q)) → p","94330986214","10743824","false"
"p ⇿ ((M₃p → r) ∨ M₃(r ∨ r))","10061491000","3687992","false"
"B₂p ⇿ (B₁B₁B₁q ∧ p)","12486673862","6572936","false"
"(q → r) ⇿ (M₁(M₃p ⇿ p) → q)","8486545","3519672","false"
"B₁p ⇿ B₁M₃¬(p ⇿ p)","88320503547","10503624","false"
"(q ⇿ q) ⇿ B₃((p ∧ p) → M₃p)","6134877","3520056","false"
"M₁q ⇿ B₁(B₂M₃r ⇿ p)","12716737626","6698024","false"
"(q → r) ⇿ B₃(M₁¬q → p)","8504550","3520128","false"
"B₃(q → r) ⇿ ((p → q) ∧ (p ∨ p))","10006282034","3517656","false"
"¬M₂r ⇿ M₂(B₁p ∨ r)","88909165981","10541536","false"
"(M₃p ⇿ p) ⇿ M₂(B₂r ∧ q)","71141335503","10445336","false"
"M₂M₃r ⇿ (((q → r) ∧ q) ⇿ r)","10015507068","3518464","false"
